countrycode,country,currency_unit,year,rgdpe,pop,emp,avh,hc,rgdpna,xr
NPL,Nepal,Nepalese Rupee,2019,88801.109,28.60871,15.652709,,1.8235772,103411.73,112.609482758621
OMN,Oman,Rial Omani,2019,146794.8,4.974985999999999,2.7794654,,,145134.8,.3845
PAN,Panama,Balboa,2019,125636.6,4.246439,1.9198999,,2.8882463,129144.79,1
PRY,Paraguay,Guarani,2019,85487.359,7.044636,3.3582797,,2.6566122,87833.367,6240.72207844257
PSE,State of Palestine,US Dollar,2019,30396.775,4.98142,.99962866,,,32069.547,1
QAT,Qatar,Qatari Rial,2019,292963.53,2.832067,2.0839512,,3.2594564,304382.5,3.64
RWA,Rwanda,Rwanda Franc,2019,26962.484,12.62695,5.2747869,,1.9190203,29437.938,899.350509
SAU,Saudi Arabia,Saudi Riyal,2019,1754526.4,34.268528,13.744605,,2.7138324,1649509.3,3.75
SDN,Sudan,Sudanese Pound,2019,170039.95,42.813238,10.322072,,1.6117841,182462.56,60.4745
SEN,Senegal,CFA Franc BCEAO,2019,51997.691,16.296364,6.1429539,,1.6175361,54101.008,585.911013180369
SLE,Sierra Leone,Leone,2019,13621.971,7.813215,2.5355296,,1.6451164,14164.478,9010.221144009151
SLV,El Salvador,US Dollar,2019,53766.477,6.453552999999999,3.0076115,,2.3067257,53204.813,1
SRB,Serbia,Serbian Dinar,2019,121562.7,6.99451,2.9051905,,3.4737988,123007.11,105.249558333333
STP,Sao Tome and Principe,Dobra,2019,784.53076,.215056,.064601555,,,878.14124,21.8847418164689
SUR,Suriname,Surinam Dollar,2019,8851.335,.581372,.22086516,,,8026.1865,7.458
SWZ,Eswatini,Lilangeni,2019,9684.3184,1.14813,.3125304,,2.1570098,9667.1035,14.4517892288824
SXM,Sint Maarten (Dutch part),Netherlands Antillian Guilder,2019,1511.9919,.042388,,,,657.22174,1.79
SYC,Seychelles,Seychelles Rupee,2019,3033.6721,.097739,.052472875,,,2438.3127,14.03325
SYR,Syrian Arab Republic,Syrian Pound,2019,96855.328,17.070135,4.7609348,,2.614711,122563.86,447.5860215053763
TCA,Turks and Caicos Islands,US Dollar,2019,1144.5275,.038191,,,,618.11731,1
TCD,Chad,CFA Franc BEAC,2019,25648.605,15.946876,5.9554291,,,24979.357,585.911013180369
TGO,Togo,CFA Franc BCEAO,2019,17609.352,8.082366,3.1719708,,1.7981182,17448.564,585.911013180369
TJK,Tajikistan,Somoni,2019,30795.535,9.321017999999999,2.6825781,,3.0321681,40990.945,9.530366666666669
TKM,Turkmenistan,Manat,2019,162396.63,5.942088999999999,3.2360334,,,154983.45,3.5
TTO,Trinidad and Tobago,Trinidad and Tobago Dollar,2019,37336.664,1.394973,.61371702,,3.0853209,35696.332,6.75424103471506
TUN,Tunisia,Tunisian Dinar,2019,125595.51,11.694719,3.6870844,,2.6992414,129398.25,2.93443333333333
TZA,U.R. of Tanzania: Mainland,Tanzanian Shilling,2019,131421.7,56.379874,23.670143,,1.7155941,139809.58,2288.20793255331
UGA,Uganda,Uganda Shilling,2019,89417.125,44.269594,15.491876,,2.4369724,91112.75,3704.04907169681
UKR,Ukraine,Hryvnia,2019,562544.19,43.993638,16.499077,,3.2896686,574202.56,25.8455893333333
UZB,Uzbekistan,Uzbekistan Sum,2019,378534.25,32.981716,14.624535,,,395524.28,8836.7875
VCT,St. Vincent and the Grenadines,East Caribbean Dollar,2019,1317.6882,.110589,.040466577,,,1165.5897,2.7
VEN,Venezuela (Bolivarian Republic of),Bolivar Fuerte,2019,7166.5718,28.515829,11.6944,,2.8934617,6670.9561,76369942.2755321
VGB,British Virgin Islands,US Dollar,2019,1147.0601,.03003,.013963741,,,1118.1772,1
YEM,Yemen,Yemeni Rial,2019,50052.934,29.161922,5.531877,,1.8429887,40069.594,250.25
ZMB,Zambia,Kwacha,2019,57956.184,17.86103,5.2254477,,2.6868451,56282.273,12.8894178879541
ZWE,Zimbabwe,US Dollar,2019,42296.063,14.645468,6.8310165,,2.7134075,42694.07,1
